	Laquelle de ces montures n'est pas sortie durant l'extension  The Burning Crusade ?	Faucon-dragon bleu	Raies du néant	Drake de l'aile-du-néant	Rênes du seigneur corbeau	Minuit	Faucon-pérégrin blanc rapide	BC	
	Laquelle de ces montures n'est pas sortie durant l'extension Cataclysm ?	Seigneur corbeau	Rênes de Poséidus	Ours de bataille amani	Serres-de-flammes d'Alysrazor	Oeuf fumant de Millagazor	Rênes de drake du vent du Nord	CATA	
	Quelle race est mise en avant durant toute l'extension Draenor ?	Orc	Draeneï	Nain	Humains	Tauren	Gnome	WOD	
	Combien de races sont disponibles en jeu ?	13	14	12	15	11	10	Général	
	Combien de races sont disponibles en jeu pour l'Alliance ?	7	5	6	8	9	13	Général	
	Combien de races sont disponibles en jeu pour la Horde ?	7	5	6	8	9	13	Général	
	Laquelle de ces montures est la monture raciale des Orcs ?	Loups	Sabres	Panthère	Raptors	Ralezan	Ours	Général	
	Laquelle de ces montures est la monture raciale des Humains ?	Chevaux	Ours	Sabot-glacé	Béliers	Triklomoteurs	Faucons-pérégrins	Général	
	Laquelle de ces montures est la monture raciale des Gnomes ?	Mécanotrotteurs	Trotteur	Béliers	Triklomoteurs	Panthère	Faucons-pérégrins	Général	
	Laquelle de ces montures est la monture raciale des Nains ?	Béliers	Ours	Triklomoteurs	Panthère	Chevaux	Faucons-pérégrins	Général	
	Laquelle de ces montures est la monture raciale des Worgens ?	Chevaux des montagnes	Trotteur	Triklomoteurs	Panthère	Béliers	Faucons-pérégrins	Général	
	Laquelle de ces montures est la monture raciale des Pandarens ?	Tortues-dragons	Sabot-glacé	Triklomoteurs	Panthère	Béliers	Faucons-pérégrins	Général	
	Laquelle de ces montures est la monture raciale des Morts-Vivants ?	Chevaux squelettes	Sabot-glacé	Triklomoteurs	Béliers	Panthère	Faucons-pérégrins	Général	
	Laquelle de ces montures est la monture raciale des Elfes de la Nuit ?	Sabres	Ours	Triklomoteurs	Panthère	Chevaux	Faucons-pérégrins	Général	
	Laquelle de ces montures est la monture raciale des Trolls ?	Raptors	Trotteur	Béliers	Triklomoteurs	Panthère	Faucons-pérégrins	Général	
	Laquelle de ces montures est la monture raciale des Draeneï ?	Elekks	Sabot-glacé	Béliers	Triklomoteurs	Panthère	Faucons-pérégrins	Général	
	Laquelle de ces montures est la monture raciale des Elfes de Sang ?	Faucons-pérégrins		Béliers	Triklomoteurs	Panthère	Chevaux	Général	
	Laquelle de ces montures est la monture raciale des Gobelins ?	Triklomoteurs	Trotteur	Béliers	Panthère	Faucons-pérégrins	Chevaux	Général	
	Laquelle de ces montures est la monture raciale des Taurens ?	Kodos	Sabot-glacé	Béliers	Triklomoteurs	Panthère	Faucons-pérégrins	Général	
	Laquelle de ces montures n'est pas sortie durant l'extension Legion ?	Hippogriffe du Concordat argenté	Noyau de brasier infernal	Rênes éternelles de Minuit	Rênes de l'hippogriffe oublié depuis longtemps	Wyrm des braises incandescentes	Noyau de brasier infernal	LEGION	
	Laquelle de ces montures n'est pas sortie durant l'extension Mists of Pandaria ?	Char d'assaut qiraji vert	Rênes de serpent-nuage céleste onyx	Mastodonte kor'kron	Rejeton d'Horridon	Rênes de navrecorne primordial de jade	Rênes de raptor primordial noir	MOP	
	Lequel de ces serpents nuages n'existe pas ?	Serpent-nuage céleste fulminant	Serpent-nuage d'onyx fulminant	Serpent-nuage cobalt fulminant	Serpent-nuage astral	Serpent-nuage céleste onyx	Serpent-nuage de rubis fulminant	MOP	
	Lequel de ces boss n'est pas un boss final de raid ?	Mannoroth	Main noire	Garrosh	Imperator Mar'Gok	Archimonde	Ragnaros	Raid	
	Lesquels de ces boss n'ont pas été boss finaux de deux raids/donjons diffèrents ?	Kel'Thuzad	Ragnaros	Néferian	Kil'jeaden	Archimonde	Kael'thas	Raid	
	Combien de régions PVE sont disponibles pendant Warlords of Dreanor ?	7	6	8	9	5	0	WOD	
	Combien d'extensions ont précédé l'extension Warlords of Dreanor ?	4	1	2	3	0	5	WOD	
	En quelle année a été annoncée l'extension Warlords of Draenor ?	2013	2011	2012	2010	2014	2015	WOD	
	En quelle année l'extension Draenor est officiellement sortie ?	2014	2011	2012	2013	2010	2015	WOD	
	Quelle est la capitale coté "Alliance" de l'extension Warlords of Dreanor ?	Bouclier-des-tempêtes	Forge Fer	Hurlevent	Iron Forge	Karabor	Mon fief	WOD	
	Quelle est la capitale coté "Horde" de l'extension Warlords of Dreanor ?	 Fer-de-Lance	Orgrimmar	Karabor	Shattrath	Dalaran	Mon fief	WOD	
	Compléter le nom complet du raid "Cogne**** " ?	*Fort	*Face	*Pierre	*Fors	*Fer	*For	WOD	
	Compléter le nom complet du raid "La Fonderie des Roche****** ?	*Noires	*Douces	*Poings	*Dures	*Mous	*Farm	WOD	
	Combien de raids sont sorties durant l'extension Draenor ?	3	1	2	0	4	5	WOD	
	Quel orc est le principal personnage sur l'affiche de l'extension Warlords of Draenor ?	Grommash	Garrosh	Thrall	Durotan	Main-noire	Mor'ghor 	WOD	
